"","module_category","component_category","year.month.repair.","TotalCount","RepairCount"
"1","M1","P02","2006/10",4,4
"2","M1","P02","2006/11",10,11
"3","M1","P02","2006/12",11,12
"4","M1","P02","2006/6",1,1
"5","M1","P02","2006/7",2,3
"6","M1","P02","2006/8",2,2
"7","M1","P02","2006/9",3,3
"8","M1","P02","2007/1",4,4
"9","M1","P02","2007/10",12,12
"10","M1","P02","2007/11",6,6
"11","M1","P02","2007/12",4,4
"12","M1","P02","2007/2",15,15
"13","M1","P02","2007/3",10,10
"14","M1","P02","2007/4",8,8
"15","M1","P02","2007/5",12,12
"16","M1","P02","2007/6",13,13
"17","M1","P02","2007/7",15,15
"18","M1","P02","2007/8",9,9
"19","M1","P02","2007/9",8,8
"20","M1","P02","2008/1",6,6
"21","M1","P02","2008/10",2,2
"22","M1","P02","2008/11",2,2
"23","M1","P02","2008/12",1,1
"24","M1","P02","2008/2",6,7
"25","M1","P02","2008/3",7,7
"26","M1","P02","2008/4",5,5
"27","M1","P02","2008/5",1,1
"28","M1","P02","2008/6",4,4
"29","M1","P02","2008/7",1,1
"30","M1","P02","2008/9",3,3
"31","M1","P02","2009/2",2,2
"32","M1","P02","2009/4",1,1
"33","M1","P02","2009/5",1,1
"34","M1","P04","2006/10",5,5
"35","M1","P04","2006/11",5,5
"36","M1","P04","2006/12",7,8
"37","M1","P04","2006/6",2,2
"38","M1","P04","2006/7",1,1
"39","M1","P04","2006/8",1,1
"40","M1","P04","2006/9",3,3
"41","M1","P04","2007/1",4,4
"42","M1","P04","2007/10",4,4
"43","M1","P04","2007/11",7,7
"44","M1","P04","2007/12",11,11
"45","M1","P04","2007/2",5,5
"46","M1","P04","2007/3",8,9
"47","M1","P04","2007/4",6,6
"48","M1","P04","2007/5",5,5
"49","M1","P04","2007/6",9,10
"50","M1","P04","2007/7",6,6
"51","M1","P04","2007/8",9,9
"52","M1","P04","2007/9",8,8
"53","M1","P04","2008/1",13,13
"54","M1","P04","2008/10",15,15
"55","M1","P04","2008/11",8,8
"56","M1","P04","2008/12",5,5
"57","M1","P04","2008/2",8,8
"58","M1","P04","2008/3",12,12
"59","M1","P04","2008/4",11,11
"60","M1","P04","2008/5",5,5
"61","M1","P04","2008/6",19,19
"62","M1","P04","2008/7",8,8
"63","M1","P04","2008/8",7,7
"64","M1","P04","2008/9",12,12
"65","M1","P04","2009/1",5,5
"66","M1","P04","2009/4",3,3
"67","M1","P04","2009/6",1,1
"68","M1","P04","2009/7",2,2
"69","M1","P04","2009/8",1,1
"70","M1","P04","2009/9",2,2
"71","M1","P05","2006/10",4,5
"72","M1","P05","2006/11",12,12
"73","M1","P05","2006/12",11,11
"74","M1","P05","2006/4",1,1
"75","M1","P05","2006/6",2,2
"76","M1","P05","2006/7",4,5
"77","M1","P05","2006/8",1,1
"78","M1","P05","2006/9",3,3
"79","M1","P05","2007/1",12,12
"80","M1","P05","2007/10",13,13
"81","M1","P05","2007/11",11,11
"82","M1","P05","2007/12",8,8
"83","M1","P05","2007/2",15,16
"84","M1","P05","2007/3",22,23
"85","M1","P05","2007/4",13,13
"86","M1","P05","2007/5",12,12
"87","M1","P05","2007/6",15,15
"88","M1","P05","2007/7",14,14
"89","M1","P05","2007/8",7,7
"90","M1","P05","2007/9",17,17
"91","M1","P05","2008/1",7,7
"92","M1","P05","2008/10",3,3
"93","M1","P05","2008/11",5,5
"94","M1","P05","2008/12",8,8
"95","M1","P05","2008/2",13,13
"96","M1","P05","2008/3",15,15
"97","M1","P05","2008/4",8,8
"98","M1","P05","2008/5",8,8
"99","M1","P05","2008/6",5,5
"100","M1","P05","2008/7",4,4
"101","M1","P05","2008/8",5,5
"102","M1","P05","2008/9",12,12
"103","M1","P05","2009/1",6,6
"104","M1","P05","2009/2",1,1
"105","M1","P05","2009/3",3,3
"106","M1","P05","2009/4",1,2
"107","M1","P05","2009/5",3,3
"108","M1","P06","2006/10",164,182
"109","M1","P06","2006/11",169,179
"110","M1","P06","2006/12",189,206
"111","M1","P06","2006/4",3,3
"112","M1","P06","2006/5",10,11
"113","M1","P06","2006/6",42,44
"114","M1","P06","2006/7",62,64
"115","M1","P06","2006/8",78,79
"116","M1","P06","2006/9",123,131
"117","M1","P06","2007/1",228,248
"118","M1","P06","2007/10",216,216
"119","M1","P06","2007/11",193,197
"120","M1","P06","2007/12",164,168
"121","M1","P06","2007/2",190,198
"122","M1","P06","2007/3",214,215
"123","M1","P06","2007/4",200,207
"124","M1","P06","2007/5",184,184
"125","M1","P06","2007/6",205,206
"126","M1","P06","2007/7",266,271
"127","M1","P06","2007/8",228,231
"128","M1","P06","2007/9",268,273
"129","M1","P06","2008/1",178,179
"130","M1","P06","2008/10",109,113
"131","M1","P06","2008/11",66,67
"132","M1","P06","2008/12",65,68
"133","M1","P06","2008/2",151,153
"134","M1","P06","2008/3",176,180
"135","M1","P06","2008/4",160,162
"136","M1","P06","2008/5",137,140
"137","M1","P06","2008/6",144,147
"138","M1","P06","2008/7",121,122
"139","M1","P06","2008/8",131,134
"140","M1","P06","2008/9",112,114
"141","M1","P06","2009/1",39,39
"142","M1","P06","2009/10",3,3
"143","M1","P06","2009/11",4,4
"144","M1","P06","2009/12",4,4
"145","M1","P06","2009/2",28,29
"146","M1","P06","2009/3",27,29
"147","M1","P06","2009/4",9,10
"148","M1","P06","2009/5",12,13
