"","module_category","component_category","year.month","TotalCount","SaleCount"
"1","M0","P01","2006/10",57,72052
"2","M0","P01","2006/11",57,86662
"3","M0","P01","2006/12",57,57560
"4","M0","P01","2006/2",57,437
"5","M0","P01","2006/3",57,52299
"6","M0","P01","2006/4",57,68984
"7","M0","P01","2006/5",57,61039
"8","M0","P01","2006/6",57,54336
"9","M0","P01","2006/7",57,78918
"10","M0","P01","2006/8",57,135601
"11","M0","P01","2006/9",57,175983
"12","M0","P01","2007/1",57,6470
"13","M0","P01","2007/2",57,10798
"14","M0","P01","2007/3",57,12926
"15","M0","P01","2007/4",57,5637
"16","M0","P02","2006/10",57,72052
"17","M0","P02","2006/11",57,86662
"18","M0","P02","2006/12",57,57560
"19","M0","P02","2006/2",57,437
"20","M0","P02","2006/3",57,52299
"21","M0","P02","2006/4",57,68984
"22","M0","P02","2006/5",57,61039
"23","M0","P02","2006/6",57,54336
"24","M0","P02","2006/7",57,78918
"25","M0","P02","2006/8",57,135601
"26","M0","P02","2006/9",57,175983
"27","M0","P02","2007/1",57,6470
"28","M0","P02","2007/2",57,10798
"29","M0","P02","2007/3",57,12926
"30","M0","P02","2007/4",57,5637
"31","M0","P03","2006/10",57,72052
"32","M0","P03","2006/11",57,86662
"33","M0","P03","2006/12",57,57560
"34","M0","P03","2006/2",57,437
"35","M0","P03","2006/3",57,52299
"36","M0","P03","2006/4",57,68984
"37","M0","P03","2006/5",57,61039
"38","M0","P03","2006/6",57,54336
"39","M0","P03","2006/7",57,78918
"40","M0","P03","2006/8",57,135601
"41","M0","P03","2006/9",57,175983
"42","M0","P03","2007/1",57,6470
"43","M0","P03","2007/2",57,10798
"44","M0","P03","2007/3",57,12926
"45","M0","P03","2007/4",57,5637
"46","M0","P04","2006/10",57,72052
"47","M0","P04","2006/11",57,86662
"48","M0","P04","2006/12",57,57560
"49","M0","P04","2006/2",57,437
"50","M0","P04","2006/3",57,52299
"51","M0","P04","2006/4",57,68984
"52","M0","P04","2006/5",57,61039
"53","M0","P04","2006/6",57,54336
"54","M0","P04","2006/7",57,78918
"55","M0","P04","2006/8",57,135601
"56","M0","P04","2006/9",57,175983
"57","M0","P04","2007/1",57,6470
"58","M0","P04","2007/2",57,10798
"59","M0","P04","2007/3",57,12926
"60","M0","P04","2007/4",57,5637
"61","M0","P05","2006/10",57,72052
"62","M0","P05","2006/11",57,86662
"63","M0","P05","2006/12",57,57560
"64","M0","P05","2006/2",57,437
"65","M0","P05","2006/3",57,52299
"66","M0","P05","2006/4",57,68984
"67","M0","P05","2006/5",57,61039
"68","M0","P05","2006/6",57,54336
"69","M0","P05","2006/7",57,78918
"70","M0","P05","2006/8",57,135601
"71","M0","P05","2006/9",57,175983
"72","M0","P05","2007/1",57,6470
"73","M0","P05","2007/2",57,10798
"74","M0","P05","2007/3",57,12926
"75","M0","P05","2007/4",57,5637
"76","M0","P06","2006/10",57,72052
"77","M0","P06","2006/11",57,86662
"78","M0","P06","2006/12",57,57560
"79","M0","P06","2006/2",57,437
"80","M0","P06","2006/3",57,52299
"81","M0","P06","2006/4",57,68984
"82","M0","P06","2006/5",57,61039
"83","M0","P06","2006/6",57,54336
"84","M0","P06","2006/7",57,78918
"85","M0","P06","2006/8",57,135601
"86","M0","P06","2006/9",57,175983
"87","M0","P06","2007/1",57,6470
"88","M0","P06","2007/2",57,10798
"89","M0","P06","2007/3",57,12926
"90","M0","P06","2007/4",57,5637
"91","M0","P07","2006/10",57,72052
"92","M0","P07","2006/11",57,86662
"93","M0","P07","2006/12",57,57560
"94","M0","P07","2006/2",57,437
"95","M0","P07","2006/3",57,52299
"96","M0","P07","2006/4",57,68984
"97","M0","P07","2006/5",57,61039
"98","M0","P07","2006/6",57,54336
"99","M0","P07","2006/7",57,78918
"100","M0","P07","2006/8",57,135601
"101","M0","P07","2006/9",57,175983
"102","M0","P07","2007/1",57,6470
"103","M0","P07","2007/2",57,10798
"104","M0","P07","2007/3",57,12926
"105","M0","P07","2007/4",57,5637
"106","M0","P08","2006/10",57,72052
"107","M0","P08","2006/11",57,86662
"108","M0","P08","2006/12",57,57560
"109","M0","P08","2006/2",57,437
"110","M0","P08","2006/3",57,52299
"111","M0","P08","2006/4",57,68984
"112","M0","P08","2006/5",57,61039
"113","M0","P08","2006/6",57,54336
"114","M0","P08","2006/7",57,78918
"115","M0","P08","2006/8",57,135601
"116","M0","P08","2006/9",57,175983
"117","M0","P08","2007/1",57,6470
"118","M0","P08","2007/2",57,10798
"119","M0","P08","2007/3",57,12926
"120","M0","P08","2007/4",57,5637
"121","M0","P09","2006/10",57,72052
"122","M0","P09","2006/11",57,86662
"123","M0","P09","2006/12",57,57560
"124","M0","P09","2006/2",57,437
"125","M0","P09","2006/3",57,52299
"126","M0","P09","2006/4",57,68984
"127","M0","P09","2006/5",57,61039
"128","M0","P09","2006/6",57,54336
"129","M0","P09","2006/7",57,78918
"130","M0","P09","2006/8",57,135601
"131","M0","P09","2006/9",57,175983
"132","M0","P09","2007/1",57,6470
"133","M0","P09","2007/2",57,10798
"134","M0","P09","2007/3",57,12926
"135","M0","P09","2007/4",57,5637
"136","M0","P10","2006/10",57,72052
"137","M0","P10","2006/11",57,86662
"138","M0","P10","2006/12",57,57560
"139","M0","P10","2006/2",57,437
"140","M0","P10","2006/3",57,52299
"141","M0","P10","2006/4",57,68984
"142","M0","P10","2006/5",57,61039
"143","M0","P10","2006/6",57,54336
"144","M0","P10","2006/7",57,78918
"145","M0","P10","2006/8",57,135601
"146","M0","P10","2006/9",57,175983
"147","M0","P10","2007/1",57,6470
"148","M0","P10","2007/2",57,10798
"149","M0","P10","2007/3",57,12926
"150","M0","P10","2007/4",57,5637
"151","M0","P11","2006/10",57,72052
